secret,success,attempts,policy,use_hints
lapão,True,6,RAND,True
amalé,True,6,RAND,True
túlio,True,6,RAND,True
neuri,True,4,RAND,True
rambo,True,9,RAND,True
cílio,True,5,RAND,True
rotim,True,6,RAND,True
alevá,True,7,RAND,True
venha,True,5,RAND,True
bófia,True,5,RAND,True
estau,True,3,RAND,True
quecé,True,6,RAND,True
tudel,True,5,RAND,True
eroca,True,5,RAND,True
bejel,True,4,RAND,True
ietim,True,3,RAND,True
dingo,True,6,RAND,True
nunes,True,3,RAND,True
lúcio,True,4,RAND,True
vivar,True,9,RAND,True
begue,True,3,RAND,True
gatas,True,4,RAND,True
bogum,True,4,RAND,True
hépia,True,6,RAND,True
choço,True,5,RAND,True
laija,True,7,RAND,True
iroco,True,3,RAND,True
arpéu,True,5,RAND,True
bagre,True,6,RAND,True
datal,True,6,RAND,True
chipó,True,4,RAND,True
coria,True,5,RAND,True
milvo,True,5,RAND,True
morbo,True,3,RAND,True
linfo,True,6,RAND,True
ripal,True,3,RAND,True
burnu,True,3,RAND,True
amovo,True,5,RAND,True
mofar,True,7,RAND,True
anuri,True,5,RAND,True
tonho,True,5,RAND,True
quado,True,7,RAND,True
sépio,True,8,RAND,True
arméu,True,5,RAND,True
iname,True,4,RAND,True
bíter,True,3,RAND,True
uanhi,True,5,RAND,True
quaró,True,7,RAND,True
scope,True,4,RAND,True
lichi,True,4,RAND,True
bossa,True,6,RAND,True
